"","","","","","","",""
"TABLE 1","","","","","","",""
"","","","","","","",""
"USER, FINANCIAL & LIQUIDITY SUMMARY","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Y/Y","Y/Y FXN*"
"USERS (M)","","","","","","",""
"Total Monthly Active Users (""MAUs"")","489","515","551","574","602","23%","--"
"Premium Subscribers","205","210","220","226","236","15%","-"
"Ad-Supported MAUs","295","317","343","361","379","28%","-"
"FINANCIALS (EM)","","","","","","",""
"Premium","2,717","2,713","2,773","2,910","3,170","17%","21%"
"Ad-Supported","449","329","404","447","501","12%","17%"
"Total Revenue","3,166","3,042","3,177","3,357","3,671","16%","20%"
"","","","","","","",""
"Gross Profit","801","766","766","885","980","22%","26%"
"Gross Margin","25.3%","25.2%","24.1%","26.4%","26.7%","-","-"
"","","","","","","",""
"Total Operating Expenses","1,032","922","1,013","853","1,055","2%","6%"
"","","","","","","",""
"Operating (Loss)/Income","(231)","(156)","(247)","32","(75)","-","-"
"Operating Margin","(7.3%)","(5.1%)","(7.8%)","1.0%","(2.0%)","-","-"
"FREE CASH FLOW & LIQUIDITY (€M, unless otherwise denoted)","","","","","","",""
"Net Cash Flows From Operating Activities","(70)","59","13","211","397","-","-"
"Free Cash Flow""","(73)","57","9","216","396","-","-"
"Cash & Cash Equivalents, Restricted Cash & Short Term Investments (€B)","3.4","3.5","3.5","3.8","4.3","-","-"
