"","","","","","","","","",""
"TABLE 1","","","","","","","","",""
"","","","","","","","","",""
"(in € millions, except percentages)","","Three months ended","","","Three months ended","","","Three months ended",""
"","June 30, 2023","March 31, 2023","June 30, 2022","June 30, 2023","March 31, 2023","June 30, 2022","June 30, 2023","March 31, 2023","June 30, 2022"
"","","Consolidated","","","Premium","","","Ad-Supported",""
"IFRS revenue","3,177","3,042","2,864","2,773","2,713","2,504","404","329","360"
"IFRS cost of revenue","2,411","2,276","2,160","1,984","1,937","1,804","427","339","356"
"IFRS gross profit","766","766","704","789","776","700","-23","-10","4"
"IFRS gross margin","24.1 %","25.2 %","24.6 %","28.5 %","28.6 %","28.0 %","(5.7)%","(3.0)%","1.1%"
"","","","","","","","","",""
"Adjustments:","","","","","","","","",""
"Less: changes in prior period estimates for
rights holder liabilities","(8)","-","(11)","(3)","-","(11)","(5)","-","-"
"Add: Car Thing charge","-","-","31","","-","31","-","-","-"
"Add: Employee severance and related
charges","6 (4)","3 (5)","-","-","1 (5)","-","6 (4)","2 (5)","-"
"Add: Impairmment charge on real estate
assets","7 (2)","-","-","(2) 1","-","-","6 (2)","-","-"
"Add: Write-off of content assets and contract
termination and other costs","39 (3)","-","-","-","-","-","39","-","-"
"Total adjustments","44","3","20","(2)","1","20","46","2","-"
"","","","","","","","","",""
"Adjusted gross profit (non-IFRS)","810","769","724","787","777","720","23","(8)","4"
"Adjusted gross margin (non-IFRS)","25.5 %","25.3 %","25.3 %","28.4 %","28.6 %","28.8 %","5.7 %","(2.4)%","1.1%"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 2","","","","","","","","",""
"","","","","","","","","",""
"(Unaudited)
(in € millions, except percentages)","","Three months ended","","","","","","",""
"","June 30, 2023","March 31, 2023","June 30, 2022","","","","","",""
"IFRS operating loss","(247)","(156)","(194)","","","","","",""
"Adjustments:","","","","","","","","",""
"Less: changes in prior period estimates for rights holder liabilities","(8)","-","(11)","","","","","",""
"Add: Car Thing charge","-","-","31 (1)","","","","","",""
"Add: Employee severance and related charges","12 (4)","44","-","","","","","",""
"Add: Impairmment charge on real estate assets","90 (2)","-","-","","","","","",""
"Add: Write-off of assets and contract termination and other costs","41 (3)","-","-","","","","","",""
"Total adjustments","135","44","20","","","","","",""
"","","","","","","","","",""
"Adjusted operating loss (non-IFRS)","(112)","(112)","(174)","","","","","",""
"","","","","","","","","",""
"IFRS operating margin","(7.8)%","(5.1)%","(6.8)%","","","","","",""
"Adjusted operating margin (non-IFRS)","(3.5)%","(3.7)%","(6.1)%","","","","","",""
