"€ millions, unless otherwise stated",Q4 2021,Q4 2020,A in %
Cloud,"2,611","2,041",28
Software licenses,"1,458","1,703",-14
Software support,"2,920","2,835",3
Software licenses and support,"4,379","4,538",-4
Cloud and software,"6,990","6,579",6
Services,991,960,3
Total revenue,"7,981","7,538",6
Cost of cloud,-873,-662,32
Cost of software licenses and support,-531,-537,-1
Cost of cloud and software,"-1,405","-1,199",17
Cost of services,-753,-703,7
Total cost of revenue,"-2,157","-1,902",13
Gross profit,"5,823","5,636",3
Research and development,"-1,412","-1,132",25
Sales and marketing,"-2,168","-1,744",24
General and administration,-756,-282,>100
Restructuring,-6,7,<-100
"Other operating income/expense, net",-16,171,<-100
Total operating expenses,"-6,515","-4,882",33
Operating profit (loss),"1,466","2,657",-45
"Other non-operating income/expense, net",-29,-58,-50
Finance income,858,331,>100
Finance costs,-335,-223,50
"Financial income, net",523,107,>100
Profit (loss) before tax,"1,960","2,706",-28
Income tax expense,-513,-772,-34
Profit (loss) after tax,"1,447","1,934",-25
Attributable to owners of parent,"1,461","1,908",-23
Attributable to non-controlling interests,-14,26,<-100
"Earnings per share, basic (in €)",1.24,1.62,-23
"Earnings per share, diluted (in €)¹",1.24,1.62,-23
