"€ millions, unless otherwise stated",,Q1-Q4 2021,Q1-Q4 2020,A in %,A in %
(non-IFRS),Actual Currency,Constant Currency,Actual Currency,Actual Currency,Constant Currency
Cloud and software,0,0,5,-95,-95
Services,"3,234","3,282","3,374",-4,-3
Total segment revenue,"3,234","3,283","3,379",-4,-3
Cost of cloud,-78,-80,-74,6,8
Cost of software licenses and support,-18,-19,-32,-43,-42
Cost of cloud and software,-97,-99,-106,-9,-7
Cost of services,"-2,035","-2,062","-2,209",-8,-7
Total cost of revenue,"-2,131","-2,160","-2,315",-8,-7
Segment gross profit,"1,103","1,122","1,063",4,6
Other segment expenses,-375,-379,-418,-10,-9
Segment profit (loss),728,744,645,13,15
Margins,,,,,
Services gross margin (in %),37.1,37.2,34.5,2.6pp,2.7pp
Segment gross margin (in %),34.1,34.2,31.5,2.6pp,2.7pp
Segment margin (in %),22.5,22.7,19.1,3.4pp,3.6pp
